contributor,creator,date,identifier,language,title
Columbia University Libraries,"Ibn Ghāzī, Muḥammad ibn Aḥmad, 1437 or 1438-1513",1747-01-01T00:00:00Z,ldpd_14642091_000,ara,Bughyat al-ṭullāb fī sharḥ Munyat al-ḥussāb
Columbia University Libraries,,1698-01-01T00:00:00Z,ldpd_15147169_000,ara,[Astronomical tables]
Columbia University Libraries,,1670-01-01T00:00:00Z,ldpd_14294925_001,ara,Kitāb fī sharḥ al-Mulakhkhaṣ ..
Columbia University Libraries,,1726-01-01T00:00:00Z,ldpd_14566257_000,ave,[Khordah Avesta]
Columbia University Libraries,,1670-01-01T00:00:00Z,ldpd_14294925_004,ara,Kitāb fī sharḥ al-Mulakhkhaṣ ..
Columbia University Libraries,"Khuwārizmī, Muḥammad ibn Mūsá, active 813-846",1700-01-01T00:00:00Z,ldpd_15856267_000,ara,al-Jabr wa al-muqābalah
Columbia University Libraries,"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",1700-01-01T00:00:00Z,ldpd_15311686_000,per,Kitāb-i usṭurlāb az Muḥaqqiq-i Ṭūsī
Columbia University Libraries,"ʻIyāḍ ibn Mūsá, 1083-1149",1700-01-01T00:00:00Z,ldpd_15147159_000,ara,al-Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá
Columbia University Libraries,,1500-01-01T00:00:00Z,ldpd_15265591_000,ara,Ḥafīrat al-taʼsīs min taʼlīf al-Qass Alīʻāzar
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14642750_000,ara,[Collection of works on Arabic grammar]
Columbia University Libraries,"Isḥāqī, Fatḥ Allāh ibn Shaykh Muṣṭafá ibn Shaykh ʻAbd al-Shakūr Fārūqī",1603-01-01T00:00:00Z,ldpd_13892504_000,per,Sabʻ samavāt li-sirr-i samāʼī
Columbia University Libraries,,1775-01-01T00:00:00Z,ldpd_13604186_000,per,[Majmūʻah]
Columbia University Libraries,"Theodosius, active 1st century B.C",1895-01-01T00:00:00Z,ldpd_14230900_000,ara,Kitāb al-ukar
Columbia University Libraries,"Anṭākī, Dāʼūd ibn ʻUmar, -1599",1713-01-01T00:00:00Z,ldpd_15311696_000,ara,Tadhkirah
Columbia University Libraries,"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389",1500-01-01T00:00:00Z,ldpd_14642784_000,ara,[Mukhtaṣar al-maʻānī fī al-balāghah]
Columbia University Libraries,,1200-01-01T00:00:00Z,ldpd_14642735_000,ara,[al-Qurʼān]
Columbia University Libraries,"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",1816-01-01T00:00:00Z,ldpd_14734517_000,per,Anvār-i Suhaylī
Columbia University Libraries,"Ibn al-Wardī, Sirāj al-Dīn Abū Ḥafṣ ʻUmar, -1457",1600-01-01T00:00:00Z,ldpd_14642704_000,ota,Kharīdat al-ʻajāyib wa-farīdat al-gharāyib
Columbia University Libraries,"Turkumānī, Kamāl al-Dīn, active 1354",1401-01-01T00:00:00Z,ldpd_13893208_000,ara,Risālah fī al-hayʼah al-falakīyah
Columbia University Libraries,,1200-01-01T00:00:00Z,ldpd_14642090_000,ara,Fī al-falak wa-al-handasah wa-al-ḥisāb
Columbia University Libraries,"Sibṭ al-Māridīnī, Badr al-Dīn Muḥammad ibn Muḥammad, 1423-",1472-01-01T00:00:00Z,ldpd_13893206_000,ara,Kitāb al-qawl al-mubdiʻ fī sharḥ al-Muqniʻ
